family_id,assigned_day
0,26
1,66
2,89
3,66
4,29
5,92
6,96
7,4
8,92
9,45
10,57
11,92
12,82
13,90
14,1
15,62
16,24
17,58
18,74
19,27
20,40
21,75
22,57
23,29
24,18
25,28
26,25
27,33
28,24
29,54
30,71
31,32
32,58
33,30
34,18
35,42
36,24
37,18
38,87
39,62
40,80
41,58
42,96
43,58
44,6
45,12
46,27
47,29
48,17
49,45
50,31
51,3
52,47
53,82
54,67
55,17
56,65
57,1
58,25
59,25
60,29
61,47
62,52
63,39
64,6
65,27
66,37
67,38
68,39
69,49
70,25
71,34
72,1
73,3
74,82
75,80
76,70
77,98
78,89
79,87
80,28
81,18
82,30
83,30
84,99
85,40
86,32
87,43
88,35
89,88
90,68
91,24
92,9
93,24
94,61
95,44
96,12
97,4
98,12
99,65
100,7
101,28
102,52
103,70
104,88
105,72
106,55
107,60
108,2
109,49
110,47
111,54
112,24
113,59
114,30
115,94
116,5
117,24
118,29
119,51
120,8
121,83
122,22
123,98
124,52
125,28
126,76
127,31
128,4
129,1
130,13
131,5
132,40
133,46
134,51
135,60
136,7
137,49
138,88
139,43
140,61
141,96
142,38
143,57
144,28
145,12
146,68
147,9
148,19
149,8
150,87
151,44
152,23
153,32
154,29
155,11
156,63
157,85
158,82
159,28
160,24
161,68
162,33
163,33
164,74
165,14
166,16
167,22
168,67
169,21
170,19
171,19
172,53
173,44
174,56
175,54
176,25
177,34
178,28
179,91
180,22
181,20
182,75
183,33
184,62
185,76
186,54
187,30
188,32
189,31
190,20
191,57
192,14
193,8
194,92
195,53
196,75
197,94
198,74
199,5
200,12
201,11
202,54
203,92
204,7
205,66
206,9
207,6
208,51
209,23
210,49
211,82
212,48
213,26
214,53
215,60
216,55
217,1
218,53
219,26
220,74
221,34
222,36
223,82
224,46
225,88
226,61
227,85
228,57
229,91
230,39
231,49
232,87
233,90
234,81
235,15
236,26
237,66
238,90
239,98
240,44
241,83
242,85
243,71
244,22
245,49
246,4
247,79
248,28
249,86
250,66
251,3
252,1
253,70
254,62
255,41
256,11
257,29
258,42
259,38
260,24
261,13
262,45
263,75
264,55
265,10
266,65
267,28
268,42
269,27
270,76
271,51
272,13
273,60
274,4
275,15
276,18
277,66
278,13
279,63
280,21
281,61
282,26
283,39
284,80
285,80
286,18
287,39
288,19
289,81
290,43
291,84
292,95
293,79
294,72
295,43
296,28
297,53
298,7
299,50
300,5
301,88
302,2
303,47
304,47
305,11
306,28
307,25
308,42
309,59
310,61
311,35
312,18
313,83
314,58
315,58
316,52
317,16
318,52
319,64
320,51
321,44
322,41
323,28
324,13
325,43
326,14
327,2
328,1
329,15
330,49
331,55
332,13
333,59
334,38
335,70
336,61
337,71
338,72
339,79
340,58
341,3
342,44
343,88
344,88
345,83
346,31
347,88
348,50
349,66
350,30
351,44
352,98
353,20
354,97
355,19
356,45
357,67
358,52
359,53
360,10
361,55
362,46
363,3
364,43
365,28
366,88
367,33
368,15
369,26
370,3
371,69
372,14
373,17
374,26
375,83
376,2
377,60
378,30
379,87
380,33
381,67
382,47
383,70
384,9
385,3
386,96
387,15
388,16
389,59
390,71
391,67
392,25
393,86
394,43
395,23
396,19
397,5
398,45
399,2
400,20
401,29
402,74
403,46
404,63
405,88
406,14
407,73
408,64
409,31
410,80
